ID,Spec_ID,sp,L_Shell,W_Shell,L_Ap,W_Ap,Texture,Basal_spirals,Thickness,Substrate
EC9350,1,goniata,7.341233459,4.279395085,4.409404537,2.983270321,0.834061909,4,0.28,Rock
EC9350,2,goniata,6.171148393,3.596266541,3.780529301,2.446030246,0.50879017,4,0.27,Rock
EC9350,3,goniata,7.478520794,4.668431002,4.885775047,3.428875236,0.400779773,2,0.36,Rock
EC9350,4,goniata,7.047471645,4.665453686,4.484499055,3.038185255,0.597944234,4,0.04,Rock
EC9350,5,goniata,8.927977316,5.250330813,5.340973535,3.401086957,0.575862476,NA,0.09,Rock
EC9436,1,laevis,6.550094518,4.097117202,4.53842155,2.791068053,0,4,0.27,Mussel
EC9436,2,laevis,4.834333648,3.229064272,3.419281664,2.187334594,0,0,0.4,Mussel
EC9436,3,laevis,6.720297732,4.448771267,4.323062382,3.228733459,0,0,0.34,Mussel
EC9436,4,laevis,5.848936673,4.072306238,4.16758034,2.925708885,0,0,0.21,Mussel
EC9436,5,laevis,6.337381853,4.212901701,4.583742911,2.952835539,0,1,0.57,Mussel
EC9454,1,laevis,7.016375236,4.447117202,4.604914934,2.973345936,0,0,0.1,Mussel
EC9454,2,laevis,6.274362004,3.952882798,4.011436673,2.747400756,0,0,0.18,Mussel
EC9454,3,laevis,6.898771267,4.645935728,5.193431002,3.431190926,0,0,0.11,Mussel
EC9454,4,laevis,7.882112476,5.104111531,5.46668242,3.548298677,0,0,0.14,Mussel
EC9454,5,laevis,8.203000945,5.228497164,5.570226843,3.632655955,0.038291588,0,0.38,Mussel
EC9470,1,laevis,6.754206049,4.467958412,4.887429112,2.870793951,0,0,0.22,Mussel
EC9470,2,laevis,3.372306238,2.06758034,2.241587902,1.533979206,0,0,0.35,Mussel
EC9470,3,laevis,5.103449905,3.230387524,3.549621928,2.088752363,0,0,0.28,Mussel
EC9470,4,laevis,5.716611531,3.86389414,3.720652174,2.290217391,0,0,0.11,Mussel
EC9470,5,laevis,6.796550095,4.768005671,4.861956522,3.421928166,0,0,0.12,Mussel
EC9478,1,laevis,6.988256144,4.733601134,4.981379962,3.152646503,0,0,0.22,Mussel
EC9478,2,laevis,4.622778828,3.182750473,3.327977316,2.13705104,0,0,0.23,Mussel
EC9478,3,laevis,6.004253308,3.928733459,4.058412098,2.609451796,0,1,0.36,Mussel
EC9478,4,laevis,7.371999055,4.993289225,5.405482042,3.317060491,0,0,0.19,Mussel
EC9478,5,laevis,5.939248582,3.982986767,4.189744802,2.627977316,0,2,0.3,Mussel
EC9482,1,laevis,5.447329868,3.807655955,4.039555766,2.568100189,0,0,0.18,Tubeworm
EC9482,2,laevis,5.042084121,3.526465028,3.5231569,2.335869565,0,0,0.14,Tubeworm
EC9482,3,laevis,5.275968809,3.424243856,3.669706994,2.374905482,0.036720227,0,0.05,Tubeworm
EC9482,4,laevis,3.842556711,2.583648393,2.448345936,1.693761815,0.039862949,0,0.12,Tubeworm
EC9482,5,laevis,3.31573724,2.13936673,2.297164461,1.454584121,0,0,0.23,Tubeworm
EC9486,1,laevis,6.911342155,4.438516068,4.513279773,2.865831758,0.035562382,0,0.2,Mussel
EC9486,2,laevis,6.968241966,4.465973535,4.75973535,2.980954631,0.025389887,1,0.27,Mussel
EC9486,3,laevis,5.808246692,3.865879017,4.098109641,2.547589792,0.026713138,0,0.35,Mussel
EC9486,4,laevis,7.047306238,4.510964083,4.890075614,3.154962193,0.028036389,0,0.15,Mussel
EC9486,5,laevis,7.68610586,4.933081285,5.299621928,3.430198488,0.019269849,0,0.17,Mussel
M12301,1,goniata,8.745864839,5.523251418,5.634404537,3.812287335,0.257124291,0,0.44,Tubeworm
M12301,2,goniata,7.57544896,4.599291115,4.522873346,3.125850662,0.27870983,2,0.48,Tubeworm
M12301,3,goniata,7.472400756,4.730623819,4.894376181,2.929017013,0.167143195,3,0.62,Tubeworm
M12301,4,goniata,6.405033081,4.015406427,3.994565217,2.41758034,0.313693289,2,0.48,Tubeworm
M12301,5,goniata,4.998582231,2.76294896,2.776512287,1.782088847,0.232313327,1,0.27,Tubeworm
CR17-0826,1,lomana,8.613705104,5.932797732,5.519943289,4.168241966,0.103130907,0,0.44,Mussel
CR17-0791,1,lomana,9.103638941,6.033695652,5.860018904,4.553638941,0.023735822,2,0.32,Mussel
